protein, probability of being in a group of size from 3 to 3 with acc higher or equal to 0.898888888889
A0A024R6X1_CES2,0.0
A0A075B6L0_IGLC3,0.0
A0A087WVW2_IGHG3,0.0
P06331,3.28407224959e-05
A0A087WSX4,3.28407224959e-05
A0A087WV47_IGHG1,3.28407224959e-05
A0A087WZH9,0.0
A0A087WZM2_RNASET2,0.0
A0A075B6P5,0.0
A0A087X2C0,0.0
Q06830_PRDX1,0.0
A8K2U0_A2ML1,3.28407224959e-05
P08670_VIM,0.0
P15153_RAC2,0.0
P09429_HMGB1,0.0
P62258_YWHAE,0.0
B4E1Z4_CFB,0.0
B5MDF5_RAN,0.0
C9JC84_FGG,0.0
P30838_ALDH3A1,0.0
C9JV77_AHSG,0.0
O15145_ARPC3,0.0
CON__P00761,0.0
CON__P01966,0.0
CON__P02538_KRT6A,0.0
CON__P02768_1_ALB,0.0
P02769_BSA,0.000821018062397
CON__P08779_KRT16,0.0
CON__P13645_KRT10,3.28407224959e-05
CON__P13646_1,3.28407224959e-05
CON__P35527_KRT9,3.28407224959e-05
CON__P60712_ACTB,0.0
CON__Q3MHH8,3.28407224959e-05
D6RF35_GC,0.0
E5RHG6_TBCA,0.0
E7EQR4_EZR,0.0
P02788_LTF,0.0
E7EX29_YWHAZ,0.0
P04406_GAPDH,0.0
P55786_NPEPPS,3.28407224959e-05
O00764_PDXK,0.0
P0C0L5_C4B,3.28407224959e-05
P22079_LPO,0.0
P61160_2_ACTR2,0.0
Q14697_2_GANAB,0.0
P17858_PFKL,0.0
Q9NZL9_MAT2B,0.0
P04075_2_ALDOA,3.28407224959e-05
O00391_QSOX1,0.0
O43707_ACTN4,0.0
O75594_PGLYRP1,0.0
O95274_LYPD3,0.0
P00330_ADH1,0.0
P00338_3_LDHA,0.0
P00450_CP,0.0
P00489_GPB,0.0
P00558_PGK1,0.0
P00738_HP,0.0
P01008_SERPINC1,0.0
P01009_SERPINA1,0.0
P01023_A2M,0.0
P01024_C3,0.0
P01033_TIMP1,0.0
P01034_CST3,0.0
P01036_CST4,0.000788177339901
P01037_CST1,0.0
P01042_2_KNG1,0.0
P01624,0.0
P01714,0.0
P01717,0.0
P01763,0.0
P01767,0.0
P01779,0.0
P01780,0.0
P01859_IGHG2,3.28407224959e-05
P01861_IGHG4,0.0
P02647_APOA1,0.0
P02671_FGA,0.0
P02675_FGB,0.0
P02750_LRG1,0.0
P02753_RBP4,0.0
P02760_AMBP,0.0
P02763_ORM1,0.0
P02787_TF,0.0
P02790_HPX,0.0
P02814_SMR3B,0.0
P03973_SLPI,0.0
P04080_CSTB,0.0
P04083_ANXA1,0.0
P04196_HRG,0.0
P04217_A1BG,0.0
P04280_PRB1,0.0
P04792_HSPB1,0.0
P04899_4_GNAI2,0.0
P05164_3_MPO,0.0
P05386_RPLP1,0.0
P06733_ENO1,3.28407224959e-05
P06870_KLK1,0.0
P07108_6_DBI,0.0
P07237_P4HB,0.0
P07339_CTSD,0.0
P07858_CTSB,0.0
P07900_2_HSP90AA1,0.0
P07996_THBS1,0.0
P08107_HSPA1A,0.0
P08238_HSP90AB1,0.0
P08246_ELANE,0.0
P08311_CTSG,0.0
P08571_CD14,3.28407224959e-05
P08603_CFH,0.0
P09211_GSTP1,3.28407224959e-05
P09228_CST2,0.0
P09960_LTA4H,0.0
P0C0S8_HIST1H2AG,0.0
P10599_TXN,0.0
P11021_HSPA5,0.0
P11142_HSPA8,0.0
P12273_PIP,0.0
P12429_ANXA3,3.28407224959e-05
P12814_3_ACTN1,0.0
P13688_CEACAM1,0.0
P14174_MIF,0.0
P16401_HIST1H1B,0.0
P16403_HIST1H1C,0.0
P17174_GOT1,3.28407224959e-05
P17931_LGALS3,0.0
P18669_PGAM1,3.28407224959e-05
P19961_AMY2B,0.0
P22314_UBA1,0.0
P23280_CA6,0.0
P23284_PPIB,3.28407224959e-05
P23381_WARS,0.0
P24158_PRTN3,0.0
P25311_AZGP1,0.0
P28325_CST5,0.0
P30740_SERPINB1,0.0
P31025_LCN1,0.0
P31946_2,0.0
P31947_SFN,0.0
P32926_DSG3,0.0
P35321_SPRR1A,3.28407224959e-05
P35579_MYH9,0.0
P36952_SERPINB5,0.0
P37802_2_TAGLN2,0.0
P52209_PGD,3.28407224959e-05
P52566_ARHGDIB,0.0
P52907_CAPZA1,0.0
P53634_CTSC,0.0
P59998_3_ARPC4,3.28407224959e-05
P60174_TPI1,3.28407224959e-05
P61158_ACTR3,0.0
P61586_RHOA,3.28407224959e-05
P62805_HIST1H4A,0.0
P62937_PPIA,0.0
P62942_FKBP1A,0.0
P63261_ACTG1,0.0
P63313_TMSB10,0.0
P68371_TUBB4B,0.0
P68871_HBB,0.0
P69905_HBA1,3.28407224959e-05
P80748,0.0
Q02413_DSG1,0.0
Q02487_DSC2,0.0
Q07654_TFF3,0.0
Q08188_TGM3,0.0
Q08380_LGALS3BP,0.0
Q14974_KPNB1,0.0
Q14CN2_CLCA4,0.0
A0A087WV23_SH3BGRL3,0.0
Q8N4F0_BPIFB2,3.28407224959e-05
Q99879_HIST1H2BM,0.0
Q9BRA2_TXNDC17,0.0
Q9HC84_MUC5B,0.0
Q9NQ38_3_SPINK5,0.0
Q9UBG3_CRNN,0.0
V9HW75_NUCB2,0.0
