"","presence_in_folds_and_repetitions","acc","signature"
"1",0.1,0.753333333333333,"P00330_ADH1, P00489_GPB, P02769_BSA, P00924_ENO1, P01036_CST4, Q9NZL9_MAT2B, P02787_TF, Q99879_HIST1H2BM, P01023_A2M, P01037_CST1, P00738_HP, P09228_CST2, P01008_SERPINC1, P01859_IGHG2, P05386_RPLP1, P07339_CTSD, A0A087WVW2_IGHG3, P01024_C3, B7Z6Z4_MYL6, D6RF35_GC, CON__P00761, Q9NQ38-3_SPINK5, P00450_CP, B4E1Z4_CFB, CON__P02768-1_ALB, P18669_PGAM1, P01009_SERPINA1, Q06830_PRDX1, A0A087WV47_IGHG1, P30838_ALDH3A1, P12429_ANXA3, P02750_LRG1, P62258_YWHAE, P02790_HPX, P04217_A1BG, P28325_CST5, P04792_HSPB1, P02763_ORM1, P62937_PPIA, P02675_FGB, O00391_QSOX1, P02647_APOA1, P22314_UBA1, P04196_HRG, P01042-2_KNG1, P31946-2, A0A087WZH9, P05164-3_MPO, A0A0A0MTS2_GPI, P23280_CA6, P04083_ANXA1, P07237_P4HB, P07996_THBS1, P01714, P02671_FGA, P02760_AMBP, Q08188_TGM3"
"2",0.2,0.746666666666667,"P00330_ADH1, P00489_GPB, P02769_BSA, P00924_ENO1, P01036_CST4, Q9NZL9_MAT2B, P02787_TF, Q99879_HIST1H2BM, P01023_A2M, P01037_CST1, P00738_HP, P09228_CST2, P01008_SERPINC1, P01859_IGHG2, P05386_RPLP1, P07339_CTSD, A0A087WVW2_IGHG3, P01024_C3, B7Z6Z4_MYL6, D6RF35_GC, CON__P00761, Q9NQ38-3_SPINK5, P00450_CP, B4E1Z4_CFB, CON__P02768-1_ALB, P18669_PGAM1, P01009_SERPINA1, Q06830_PRDX1, A0A087WV47_IGHG1, P30838_ALDH3A1, P12429_ANXA3, P02750_LRG1, P62258_YWHAE, P02790_HPX, P04217_A1BG, P28325_CST5, P04792_HSPB1, P02763_ORM1, P62937_PPIA, P02675_FGB, O00391_QSOX1, P02647_APOA1, P22314_UBA1, P04196_HRG, P01042-2_KNG1, P31946-2, A0A087WZH9, P05164-3_MPO, A0A0A0MTS2_GPI, P23280_CA6, P04083_ANXA1, P07237_P4HB, P07996_THBS1, P01714, P02671_FGA, P02760_AMBP, Q08188_TGM3"
"3",0.3,0.72,"P00330_ADH1, P00489_GPB, P02769_BSA, P00924_ENO1, P01036_CST4, Q9NZL9_MAT2B, P02787_TF, P01023_A2M, P01037_CST1, P00738_HP, P09228_CST2, P01008_SERPINC1, P01859_IGHG2, P05386_RPLP1, A0A087WVW2_IGHG3, P01024_C3, B7Z6Z4_MYL6, D6RF35_GC, CON__P00761, P00450_CP, B4E1Z4_CFB, P18669_PGAM1, P01009_SERPINA1, Q06830_PRDX1, A0A087WV47_IGHG1, P30838_ALDH3A1, P12429_ANXA3, P02750_LRG1, P02790_HPX, P04217_A1BG, P28325_CST5, P04792_HSPB1, P62937_PPIA, P02675_FGB, O00391_QSOX1, P02647_APOA1, P22314_UBA1, P04196_HRG, P01042-2_KNG1, P31946-2, A0A087WZH9, P05164-3_MPO, A0A0A0MTS2_GPI, P23280_CA6, P04083_ANXA1, P07237_P4HB, P07996_THBS1, P01714, P02671_FGA, P02760_AMBP"
"4",0.4,1,"P00330_ADH1, P00489_GPB, P02769_BSA, P00924_ENO1, P05386_RPLP1, P01024_C3, CON__P00761, Q06830_PRDX1, P30838_ALDH3A1, P12429_ANXA3, P04792_HSPB1, P62937_PPIA, P02675_FGB, P31946-2, A0A087WZH9, P04083_ANXA1"
"5",0.5,0.966666666666667,"P00330_ADH1, P00489_GPB, P02769_BSA, P05386_RPLP1, P01024_C3, CON__P00761, Q06830_PRDX1, P12429_ANXA3, P04792_HSPB1, P62937_PPIA, P02675_FGB, A0A087WZH9"
"6",0.6,1,"P00330_ADH1, P00489_GPB, P02769_BSA, P05386_RPLP1, P01024_C3, CON__P00761, Q06830_PRDX1, P12429_ANXA3"
"7",0.7,0.833333333333333,"P00330_ADH1, P00489_GPB, CON__P00761"
"8",0.8,0.893333333333333,"P00330_ADH1, P00489_GPB, CON__P00761"
"9",0.9,0.853333333333333,"P00330_ADH1, CON__P00761"
"10",1,0.82,"P00330_ADH1"
