"","rank","protein"
"1",1,"P00330_ADH1"
"2",2,"P31946-2"
"3",3,"P62937_PPIA"
"4",4,"CON__P00761"
"5",5,"P00489_GPB"
"6",6,"P04792_HSPB1"
"7",7,"P00450_CP"
"8",8,"P12429_ANXA3"
"9",9,"P02769_BSA"
"10",10,"P01714"
"11",11,"Q06830_PRDX1"
"12",12,"P01024_C3"
"13",13,"P00924_ENO1"
"14",14,"P05386_RPLP1"
"15",15,"A0A087WZH9"
"16",16,"P30838_ALDH3A1"
"17",17,"P02675_FGB"
"18",18,"P04083_ANXA1"
"19",19,"P01009_SERPINA1"
"20",20,"P23280_CA6"
"21",21,"P28325_CST5"
"22",22,"P05164-3_MPO"
"23",23,"Q08188_TGM3"
"24",24,"P02750_LRG1"
"25",25,"P02671_FGA"
"26",26,"B4E1Z4_CFB"
"27",27,"A0A0A0MTS2_GPI"
"28",28,"P01859_IGHG2"
"29",29,"P22314_UBA1"
"30",30,"P04196_HRG"
"31",31,"P18669_PGAM1"
"32",32,"D6RF35_GC"
"33",33,"P09228_CST2"
"34",34,"P01008_SERPINC1"
"35",35,"P01042-2_KNG1"
"36",36,"Q99879_HIST1H2BM"
"37",37,"P01023_A2M"
"38",38,"P02760_AMBP"
"39",39,"P02787_TF"
"40",40,"P07237_P4HB"
"41",41,"P04217_A1BG"
"42",42,"P01036_CST4"
"43",43,"P00738_HP"
"44",44,"A0A087WV47_IGHG1"
"45",45,"A0A087WVW2_IGHG3"
"46",46,"P02790_HPX"
"47",47,"P07996_THBS1"
"48",48,"Q9NZL9_MAT2B"
"49",49,"B7Z6Z4_MYL6"
"50",50,"Q9NQ38-3_SPINK5"
"51",51,"P02763_ORM1"
"52",52,"O00391_QSOX1"
"53",53,"P07339_CTSD"
"54",54,"P01037_CST1"
"55",55,"P02647_APOA1"
"56",56,"P62258_YWHAE"
"57",57,"CON__P02768-1_ALB"
