n,avg_acc,stddev_acc,ind_avg_acc,ind_stddev_acc,weight,signature
2,0.944444444444,0,0.666666666667,0,1,P01036_CST4,P02769_BSA
3,0.944444444444,0,0.833333333333,0,1,P01023_A2M,P09228_CST2,P02769_BSA
3,0.944444444444,0,0.666666666667,0,1,P00924_ENO1,P09228_CST2,P02769_BSA
3,0.944444444444,0,0.666666666667,0,1,P09228_CST2,B7Z6Z4_MYL6,P02769_BSA
3,0.944444444444,0,0.5,0,1,P09228_CST2,P01036_CST4,P02769_BSA
3,0.944444444444,0,0.666666666667,0,1,B7Z6Z4_MYL6,P01036_CST4,P02769_BSA
3,0.944444444444,0,0.666666666667,0,1,P01036_CST4,P02769_BSA,P23280_CA6
2,0.861111111111,0,0.666666666667,0,1,B4E1Z4_CFB,P00330_ADH1
2,0.861111111111,0,0.666666666667,0,1,P02787_TF,P00330_ADH1
2,0.861111111111,0,0.666666666667,0,1,P01008_SERPINC1,P00330_ADH1
2,0.861111111111,0,0.833333333333,0,1,P00330_ADH1,P52209_PGD
2,0.861111111111,0,0.833333333333,0,1,P00330_ADH1,P09228_CST2
3,0.861111111111,0,0.666666666667,0,1,B4E1Z4_CFB,P02787_TF,P00330_ADH1
3,0.861111111111,0,0.666666666667,0,1,B4E1Z4_CFB,P00330_ADH1,P52209_PGD
3,0.861111111111,0,0.666666666667,0,1,P02787_TF,P01008_SERPINC1,P00330_ADH1
3,0.861111111111,0,0.666666666667,0,1,P02787_TF,P00330_ADH1,P52209_PGD
3,0.861111111111,0,0.666666666667,0,1,Q99879_HIST1H2BM,CON__P02768_1_ALB,P00330_ADH1
3,0.861111111111,0,0.833333333333,0,1,Q99879_HIST1H2BM,P01008_SERPINC1,P00330_ADH1
3,0.861111111111,0,0.833333333333,0,1,Q99879_HIST1H2BM,P00330_ADH1,P09228_CST2
3,0.861111111111,0,0.833333333333,0,1,P00330_ADH1,P52209_PGD,P09228_CST2
2,0.944444444444,0,0.666666666667,0,1,P0C0L5_C4B,P00924_ENO1
2,0.944444444444,0,0.333333333333,0,1,P01023_A2M,P14174_MIF
2,0.944444444444,0,0.333333333333,0,1,P01023_A2M,P62937_PPIA
